2025-05-13 12:27:03,173 - INFO - Starting mesh evaluation for scene: hopsap
2025-05-13 12:27:03,173 - INFO - Loading cameras and images...
2025-05-13 12:27:03,336 - INFO - Loading mesh...
2025-05-13 12:27:21,544 - INFO - Loading point3D.bin from: /home/doan/VA_0223/20250411_Final/Reconstruction_3D/output/ins_ngp/hopsap/temp_colmap/sparse/0/points3D.bin
2025-05-13 12:30:26,836 - INFO - frame_0071.png: PSNR=12.69, SSIM=0.725, LPIPS=0.259
2025-05-13 12:30:28,926 - INFO - frame_0070.png: PSNR=12.69, SSIM=0.724, LPIPS=0.260
2025-05-13 12:30:30,814 - INFO - frame_0072.png: PSNR=12.70, SSIM=0.725, LPIPS=0.259
2025-05-13 12:30:33,462 - INFO - frame_0073.png: PSNR=12.70, SSIM=0.726, LPIPS=0.258
2025-05-13 12:30:35,805 - INFO - frame_0074.png: PSNR=12.68, SSIM=0.726, LPIPS=0.257
2025-05-13 12:30:37,766 - INFO - frame_0075.png: PSNR=12.68, SSIM=0.726, LPIPS=0.256
2025-05-13 12:30:39,790 - INFO - frame_0076.png: PSNR=12.69, SSIM=0.727, LPIPS=0.255
2025-05-13 12:30:42,509 - INFO - frame_0077.png: PSNR=12.68, SSIM=0.727, LPIPS=0.254
2025-05-13 12:30:44,710 - INFO - frame_0082.png: PSNR=12.68, SSIM=0.729, LPIPS=0.253
2025-05-13 12:30:46,609 - INFO - frame_0079.png: PSNR=12.68, SSIM=0.728, LPIPS=0.253
2025-05-13 12:30:48,709 - INFO - frame_0081.png: PSNR=12.69, SSIM=0.729, LPIPS=0.253
2025-05-13 12:30:51,431 - INFO - frame_0078.png: PSNR=12.69, SSIM=0.728, LPIPS=0.254
2025-05-13 12:30:53,313 - INFO - frame_0080.png: PSNR=12.69, SSIM=0.729, LPIPS=0.253
2025-05-13 12:30:55,108 - INFO - frame_0083.png: PSNR=12.69, SSIM=0.730, LPIPS=0.252
2025-05-13 12:30:57,281 - INFO - frame_0084.png: PSNR=12.69, SSIM=0.730, LPIPS=0.251
2025-05-13 12:30:59,620 - INFO - frame_0085.png: PSNR=12.71, SSIM=0.731, LPIPS=0.251
2025-05-13 12:31:01,720 - INFO - frame_0086.png: PSNR=12.68, SSIM=0.731, LPIPS=0.251
2025-05-13 12:31:03,621 - INFO - frame_0087.png: PSNR=12.67, SSIM=0.731, LPIPS=0.251
2025-05-13 12:31:05,577 - INFO - frame_0088.png: PSNR=12.68, SSIM=0.732, LPIPS=0.250
2025-05-13 12:31:08,214 - INFO - frame_0089.png: PSNR=12.67, SSIM=0.732, LPIPS=0.251
2025-05-13 12:31:10,427 - INFO - frame_0091.png: PSNR=12.66, SSIM=0.733, LPIPS=0.252
2025-05-13 12:31:12,084 - INFO - frame_0093.png: PSNR=12.64, SSIM=0.734, LPIPS=0.251
2025-05-13 12:31:13,949 - INFO - frame_0090.png: PSNR=12.68, SSIM=0.733, LPIPS=0.251
2025-05-13 12:31:15,899 - INFO - frame_0092.png: PSNR=12.64, SSIM=0.733, LPIPS=0.253
2025-05-13 12:31:17,702 - INFO - frame_0095.png: PSNR=12.64, SSIM=0.735, LPIPS=0.251
2025-05-13 12:31:19,155 - INFO - frame_0096.png: PSNR=12.65, SSIM=0.736, LPIPS=0.251
2025-05-13 12:31:20,770 - INFO - frame_0097.png: PSNR=12.65, SSIM=0.736, LPIPS=0.251
2025-05-13 12:31:22,438 - INFO - frame_0094.png: PSNR=12.64, SSIM=0.734, LPIPS=0.250
2025-05-13 12:31:24,116 - INFO - frame_0098.png: PSNR=12.64, SSIM=0.737, LPIPS=0.249
2025-05-13 12:31:25,598 - INFO - frame_0099.png: PSNR=12.63, SSIM=0.737, LPIPS=0.250
2025-05-13 12:31:25,598 - INFO - 
Evaluation completed! Average metrics:
2025-05-13 12:31:25,598 - INFO - PSNR: 12.66
2025-05-13 12:31:25,598 - INFO - SSIM: 0.732
2025-05-13 12:31:25,598 - INFO - LPIPS: 0.251
